,Name,z_burns2018_bvriC,z_burns2018_griC,EBV,EBV_err,dm15,dm15_err,MV,MV_err,bv_source_w09,Type,foundation,csp,w09,vel,vel_err,vel_source,bv_source,z,z_err,z_wang09,c_sncosmo,c_err_sncosmo,chisq,mwebv_sncosmo,mwebv_err,success,t0,t0_err,x0_sncosmo,x0_err_sncosmo,x1_sncosmo,x1_err_sncosmo,z_cosana,Name_sncosmo,Survey_sncosmo,bands,bands2,Name_upper,Name_snana,zHEL,zCMB,zHD,mwebv_snana,SNRMAX1,SNRMAX2,PKMJD,PKMJDERR,x1_snana,x1_err_snana,c_snana,c_err_snana,mB,mBERR,x0_snana,x0_err_snana,FITCHI2,x0_offset,Survey_snana,first_fitmjd
88,2009aa,0.02729,0.02729,0.085,0.014,1.197,0.06,-19.06699634,0.007,,,FALSE,TRUE,FALSE,-10.546,0.22177466,csp,b18,0.02729,,,-0.055724652,0.021520296,58.18654487,0.029208187,0,1,54878.44904,0.027854372,0.005450624,0.000104864,-0.776069208,0.027452952,0.02729,2009aa,CSP,BVgr                ,BVgir               ,SN2009AA,SN2009AA,0.02729,0.02729,0.02729,0.0292082,271.43512,217.14793,54878.441,0.028,-0.783182,0.0273027,-0.0474197,0.0211771,16.03546,0.021523,0.00691538,0.000137087,63.46238,0.005392822,CSP,54869.18
89,2009ab,0.01116,0.01116,0.121,0.025,1.272,0.061,-18.74493914,0.006,,,FALSE,TRUE,FALSE,-10.563,0.221097264,csp,b18,0.01116,,,-0.014845668,0.022229714,8.962557155,0.184055555,0,1,54883.37204,0.041196786,0.023746998,0.000481744,-1.001163816,0.046927331,0.01116,2009ab,CSP,BVgr                ,BVgir               ,SN2009AB,SN2009AB,0.01116,0.01116,0.01116,0.18406,271.43445,271.43405,54883.375,0.04,-0.987573,0.0452037,-0.0110745,0.0238638,14.43707,0.0426996,0.0301419,0.00118542,10.14405,0.023505561,CSP,54874.07
90,2009ad,0.02838,0.02838,0.083,0.018,0.959,0.061,-19.29555145,0.006,,,FALSE,TRUE,FALSE,-10.394,0.221097264,csp,b18,0.02838,,,-0.042823635,0.021633626,63.46043349,0.096049628,0,1,54886.61474,0.032320118,0.006111747,0.000118255,0.181813245,0.032322286,0.02838,2009ad,CSP,BVgr                ,BVgir               ,SN2009AD,SN2009AD,0.02838,0.02838,0.02838,0.0960495,217.14809,217.1474,54886.609,0.032,0.19046,0.0319486,-0.035144,0.0219037,15.91177,0.0281467,0.00774982,0.000200907,64.40381,0.006043543,CSP,54878.102
91,2009ag,0.00863,0.00863,0.286,0.039,1.049,0.062,-18.3960298,0.009,,,FALSE,TRUE,FALSE,-10.261,0.286162541,csp,b18,0.00863,,,0.096205347,0.021935866,247.8056875,0.217959391,0,1,54889.61749,0.060886119,0.02709965,0.000561632,-0.239062822,0.029824105,0.00863,2009ag,CSP,BVgr                ,BVgir               ,SN2009AG,SN2009AG,0.00863,0.00863,0.00863,0.21796,217.14775,217.1474,54889.652,0.061,-0.216623,0.0296302,0.0869603,0.0235145,14.25623,0.0476559,0.0356047,0.00156279,224.24841,0.027765617,CSP,54888.09
96,2004gu,0.04583,0.04583,0.097,0.031,0.823,0.061,,0.009,,,FALSE,TRUE,FALSE,-10.631,0.373636187,csp,b18,0.04583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2005bl,0.02404,0.02404,0.33,0.033,1.906,0.061,,0.022,,,FALSE,TRUE,FALSE,-9.93,0.236211769,csp,b18,0.02404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2005eq,0.02896,0.02896,0.109,0.017,0.813,0.06,,0.006,,,FALSE,TRUE,FALSE,-10.097,0.245967478,csp,b18,0.02896,,,0.008094883,0.022030289,62.57096173,0.063626849,0,1,53654.78212,0.098144376,0.005348324,0.000104637,1.44695293,0.053792478,0.02896,2005eq,CSP,BVgr                ,BVgir               ,SN2005EQ,SN2005EQ,0.02896,0.02896,0.02896,0.0636272,180.95691,180.95657,53654.766,0.097,1.44825,0.0534046,0.0140459,0.0223361,16.05492,0.0250303,0.00679253,0.000156594,67.18222,0.005297019,CSP,53650.309
100,2005ir,0.07631,0.07631,0.078,0.017,0.884,0.065,,0.011,,,FALSE,TRUE,FALSE,-13.41247342,0.241660919,local,b18,0.07631,,,-0.001342957,0.023572631,80.09671378,0.026293254,0,1,53685.29878,0.153071667,0.000758819,1.46E-05,0.733120341,0.126211573,0.07631,2005ir,CSP,BVgr                ,BVgir               ,SN2005IR,SN2005IR,0.07631,0.07631,0.07631,0.0262931,90.47896,77.55329,53685.34,0.147,0.67254,0.12128,0.00232599,0.0234009,18.16551,0.0214283,0.000972293,1.92E-05,86.76012,0.000758223,CSP,53682.121
101,2005ke,0.00488,0.00488,0.317,0.025,1.691,0.061,,0.008,,,FALSE,TRUE,FALSE,-9.811,0.238461737,csp,b18,0.00488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2005m,0.022,0.022,0.055,0.02,0.796,0.06,,0.002,,,FALSE,TRUE,FALSE,-8.786753075,0.227966733,local,b18,0.022,,,-0.005472075,0.02069196,251.2890744,0.026828279,0,1,53406.2754,0.033160601,0.007598452,0.000142625,1.221295676,0.029121437,0.022,2005m,CSP,BVgr                ,BVgir               ,SN2005M,SN2005M,0.022,0.022,0.022,0.0268281,180.95645,180.95616,53406.254,0.033,1.23557,0.0295386,0.0102606,0.020884,15.6819,0.0214284,0.0095772,0.000189018,261.09308,0.007468589,CSP,53396.27
