,Name,phase,choice,vel_dettman,vel_dettman_err,vel_siebert,vel_siebert_err
72,asassn-16ex,-12.32215838,same,-11.87757009,0.224402079,-11.86435391,0.225610283
73,asassn-16fo,6.936534163,same,-15.0676163,0.220391463,-15.27481558,0.245967478
74,asassn-16fs,3.977826774,same,-12.22844184,0.22040893,-12.21028638,0.225610283
75,asassn-16ip,-8.227073927,siebert,-11.55967262,0.221386692,-11.94131978,0.223606798
76,asassn-16jf,-5.692867898,siebert,-10.25412935,0.22057382,-10.82764753,0.237697286
77,asassn-16la,-2.601831764,same,-9.929018945,0.22017354,-9.83735819,0.250599282
78,asassn-16oz,-6.717749758,average,-10.42101324,0.227867526,-10.7000207,0.284253408
79,asassn-17aj,-3.002129691,same,-10.36010989,0.220888307,-10.3637573,0.220227155
80,asassn-17at,-3.931263453,same,-11.76277004,0.220843199,-11.88582315,0.225610283
81,asassn-17bs,-6.014325797,siebert,-10.70520838,0.220254254,-11.06183383,0.234093998
82,asassn-17co,-6.180156522,dettman,-11.45965195,0.221806363,-11.2938556,0.297321375
83,asassn-17eb,0.1934735,dettman,-10.90044817,0.222191532,-11.20466339,0.225610283
84,asassn-17fd,-6.282075625,dettman,-9.733418137,0.761903736,0.190977065,0.245967478
85,atlas16dpb,-6.151016095,siebert,-11.31994125,0.251699023,-11.78823059,0.230867928
86,atlas16dqf,-10.46642577,dettman,-51.5131393,0.247460886,-12.36551796,0.284253408
87,atlas16dtf,-12.62385473,cut,-10.80218052,0.224435648,-11.49515473,0.456508488
88,atlas16eej,0.119118863,same,-10.32882866,0.221109236,-10.31561799,0.241660919
89,atlas17ajn,2.494395872,dettman,-10.30517409,0.221740734,-10.54615997,0.27202941
90,css160129,0.292227863,dettman,-11.86774744,0.222705752,-12.60532788,0.228035085
# 91,css160129,9.658505517,dettman,-13.18829763,0.222705752,-14.24873901,0.228035085
92,ps15ahs,4.038872692,same,-9.614239478,0.220382577,-9.631516366,0.230867928
93,ps15aii,-0.612489238,siebert,-10.21523304,0.220283383,-10.47791244,0.228035085
94,ps15bif,-6.680847989,same,-10.92295047,0.222736921,-11.09685052,0.237697286
95,ps15bjg,-9.185656905,dettman,-12.07514742,0.241466811,-12.24585566,0.364005494
96,ps15bsq,-7.609948332,same,-11.57634404,0.220406498,-11.59708232,0.230867928
97,ps15bst,-3.505318374,siebert,-10.90309029,0.239837779,-10.51246109,0.223606798
98,ps15bwh,0.434579439,same,-11.32063976,0.256279345,-11.1319189,0.250599282
99,ps15bzz,-3.073391098,average,-11.00614337,0.225306307,-11.1613533,0.234093998
100,ps15cfn,-3.501013285,dettman,-10.17420403,0.225519773,-89.86686135,0.22
101,ps15cge,-10.84233098,same,-10.8679073,0.223367521,-10.80706778,0.245967478
102,ps15cze,-5.201222663,siebert,-10.67706101,0.227990414,-11.44546859,0.234093998
103,ps15mt,-5.876640052,same,-11.49296401,0.220843199,-11.64187576,0.237697286
104,ps16aer,-7.009221608,siebert,-12.21038229,0.220675242,-11.95860716,0.234093998
105,ps16bnz,-3.308553684,average,-12.62841427,0.308942729,-13.00720919,0.27202941
106,ps16cqa,1.650609231,siebert,-10.24575429,0.22111224,-10.90940719,0.245967478
107,ps16cvc,-2.428268936,same,-11.3243804,0.223813538,-11.298615,0.228035085
108,ps16dnp,2.87936598,average,-9.111079784,0.234399642,-8.530269631,0.241660919
109,ps16evk,0.18872074,average,-9.905488338,0.238411612,-9.634763193,0.260768096
110,ps16ez,-12.36936666,dettman,-55.49160001,0.234444536,-1.548508473,0.234093998
111,ps16fa,-2.195753583,dettman,-10.17418189,0.227885772,-10.40044439,0.255538647
112,ps16fbb,-2.375296912,same,-10.06720395,0.22259043,-10.12272727,0.228035085
113,ps16n,8.130681818,average,-10.24785586,0.222667038,-10.04177128,0.223606798
114,ps17akj,-7.323782235,siebert,-11.7280025,0.222697987,-11.30197967,0.260768096
115,ps17bii,-3.850414248,siebert,-10.14867184,0.223346794,-10.58500393,0.241660919
116,ps17cjo,-0.070075758,average,-10.57954948,0.221735735,-10.69583708,0.234093998
117,ps17ckg,0.364761905,dettman,-9.857512629,0.222370107,-10.13508278,0.311126984
118,2016gmb,12.51984877,average,-12.6719366,0.225922403,-12.45155023,0.228035085
119,asassn-16aj,-0.041717399,same,-11.62442437,0.221418157,-11.87593651,0.230867928
120,asassn-16ay,0.755584469,siebert,-10.74271679,0.22152869,-11.15608394,0.250599282
121,asassn-16lg,-4.452731227,average,-10.12506708,0.221508817,-10.4681295,0.228035085
122,atlas16agv,-3.79179034,same,-10.10011959,0.230584656,-9.892793237,0.223606798
123,2016bey,3.218032763,average,-10.3548355,0.451024736,-10.70178682,0.245967478
124,atlas16bwu,-1.619666048,average,-9.616065773,0.242512189,-9.315757808,0.228035085
125,2016ffh,-8.444354961,dettman,-15.97431378,0.223081381,-16.91681889,0.439089968
126,2016gou,-10.25787402,same,-10.67556661,0.221643325,-10.75957,0.225610283
127,gaia16bba,0.064049208,same,-10.05660657,0.220441202,-10.02241605,0.230867928
128,ptss-16efw,3.091262136,average,-10.32045428,0.221864125,-10.47128807,0.278028775
129,ptss17niq,-1.78792077,dettman,1.615704763,0.221226191,-11.43143757,0.237697286
# added in by hand as there are no siebert measurements
130,2016coj,-1.1079886 ,dettman,-11.95070,0.22188,,
131,2016cvv,1.80265563821 ,dettman,-12.26477,0.56673,,
