,Host,Name,mass,mass_Burns18,mass_DES,mass_Jones18,mass_Neill,mass_PanSTARRS,mass_SDSS,mass_SNLS,mass_Wolf,masserr,subsample,symbol,vel,velerr,z,mass_Chang,mass_2MASS,mass_Conley11
304,SDSS J010135.75+170604.9,gaia16bba,8.184,,,8.184,,,,,,0.1584512819553814,Foundation,o,-10.056606565215004,0.22044120213789434,0.0304577,,,
305,UGC 04030 NED01,2017ckx,10.472,,,10.472,,,,,,0.1584512819553814,Foundation,o,-9.85840750013868,0.23063262648636684,0.0271585,,,
306,NGC5541,2017mf,10.802,,,10.802,,,,,,0.1584512819553814,Foundation,o,-10.587583917343302,0.2211577717377348,0.025612,,,
307,CGCG 036-091,ps16fa,10.759,,,10.759,,,,,,0.1584512819553814,Foundation,o,-10.174181889111793,0.22788577160498635,0.0461101,,,
308,SDSS J000702.87-204150.1,ps16fbb,9.384,,,9.384,,,,,,0.1584512819553814,Foundation,o,-10.067203949691086,0.22259043016266444,0.0525,,,
309,2MASX J14075270+0938281,2017cpu,10.673,,,10.673,,,,,,0.1584512819553814,Foundation,o,-11.445695390101426,0.2274941056379264,0.054404499999999995,,,
310,UGC 09523,asassn-16fs,10.974,,,10.974,,,,,,0.1584512819553814,Foundation,o,-12.228441841609405,0.22040892994613445,0.0292052,,,
311,GALEXASC J211223.05+144644.9,ps16cvc,9.757,,,9.757,,,,,,0.1584512819553814,Foundation,o,-11.324380401787323,0.2238135375708985,0.029539999999999997,,,
312,NGC 6319,asassn-15fa,10.862,,,10.862,,,,,,0.1584512819553814,Foundation,o,-10.244576844508972,0.2218861800563523,0.0273452,,,
313,SDSS J225939.63+020858.8,ps16dnp,8.392000000000001,,,8.392000000000001,,,,,,0.1584512819553814,Foundation,o,-8.820674707372175,0.25483954186899643,0.0512731,,,
314,2MASX J03472342+0052316,ps15cze,10.81,,,10.81,,,,,,0.1584512819553814,Foundation,o,-11.44546859262287,0.2340939982143925,0.039370800000000004,,,
315,LCRS B100813.8-033156,2017cjv,10.812,,,10.812,,,,,,0.1584512819553814,Foundation,o,-11.06816,0.2292,0.059528,,,
316,UGC 05586 NED02,ps16bnz,11.658,,,11.658,,,,,,0.1584512819553814,Foundation,o,-12.81781173293832,0.3479160962071172,0.0627,,,
317,VCC 2005,ps15aii,10.902,,,10.902,,,,,,0.1584512819553814,Foundation,o,-10.477912435770724,0.2280350850198276,0.046549,,,
318,2MASX J11253836+0720042,ps17bii,10.685,,,10.685,,,,,,0.1584512819553814,Foundation,o,-10.585003932120776,0.24166091947189144,0.073391,,,
319,IC 0986,asassn-16bq,10.841,,,10.841,,,,,,0.1584512819553814,Foundation,o,-12.57850420632947,0.2459674775249769,0.024935099999999998,,,
320,SDSS J151354.30+044525.7,asassn-16ct,9.316,,,9.316,,,,,,0.1584512819553814,Foundation,o,-9.820759462879453,0.2443787224780423,0.04191040000000002,,,
321,CGCG 082-031,asassn-15nr,10.271,,,10.271,,,,,,0.1584512819553814,Foundation,o,-10.588526487990023,0.2257889279836369,0.023206,,,
322,UGC 03738,asassn-16ay,10.175,,,10.175,,,,,,0.1584512819553814,Foundation,o,-11.156083939419084,0.25059928172283336,0.028343,,,
323,2MASX J15383353+1320423,asassn-17eb,11.072,,,11.072,,,,,,0.1584512819553814,Foundation,o,-10.900448173601248,0.2221915320168615,0.0492393,,,
324,2MASX J13300119-2758297,asassn-16dw,10.28,,,10.28,,,,,,0.1584512819553814,Foundation,o,-10.65044593191832,0.22174448719190293,0.034657,,,
325,2MASX J15060265+0733415,asassn-15np,10.458,,,10.458,,,,,,0.1584512819553814,Foundation,o,-9.292179382182304,0.25998184725091866,0.037683,,,
326,VV 790a,asassn-15uu,9.74,,,9.74,,,,,,0.1584512819553814,Foundation,o,-10.69667882861593,0.26076809620810604,0.026779,,,
327,2MASX J11383367+2523532,asassn-17at,10.312,,,10.312,,,,,,0.1584512819553814,Foundation,o,-11.762770039688098,0.22084319867272345,0.0253701,,,
328,MCG-01-07-004,asassn-15od,9.72,,,9.72,,,,,,0.1584512819553814,Foundation,o,-11.926640821472848,0.2340939982143925,0.017603,,,
329,NGC 5018,2002dj,11.34,,,,11.34,,,,,0.1584512819553814,old,o,-13.69,0.22,0.008962999999999999,,,
330,NGC 6104,2002de,10.741666666666667,,10.661,10.734000000000002,10.83,,,,,0.13852637133613072,old,o,-11.44,0.25,0.028266221427091405,,,
331,NGC 5468,1999cp,9.48,,,,9.48,,,,,0.1584512819553814,old,o,99.9,,0.010380514642566492,,,
332,NGC 6962,2002ha,11.042666666666667,,11.072,10.966,11.09,,,,,0.1318821022310795,old,o,-11.29,0.24,0.01305236304510369,,,
333,NGC 2962,1995d,10.2,,,,10.2,,,,,0.1584512819553814,old,o,99.9,,0.0071015795867686565,,,
334,UGC 10244,2006cc,10.46,,,,10.46,,,,,0.1584512819553814,old,o,99.9,,0.032665931842755035,,,
335,NGC 7678,2002dp,10.665333333333335,,10.567,11.029000000000002,10.4,,,,,0.2918473725920609,old,o,-11.09,0.23,0.010450563102558104,,,
336,UGC 3770,2000fa,9.82,,,,9.82,,,,,0.1584512819553814,old,o,-99.9,,0.021791742339295275,,,
337,UGC 8162,2007f,10.071333333333333,,10.084,10.07,10.06,,,,,0.12040302690916405,old,o,99.9,,0.024163383056154137,,,
338,UGC 5234,2003w,10.55,,,,10.55,,,,,0.1584512819553814,old,o,-99.9,,0.021127949789850952,,,
339,UGC 3218,2006le,10.19,,,,10.19,,,,,0.1584512819553814,old,o,-99.9,,0.017271948849360313,,,
340,NGC 4680,1997bp,10.24,,,,10.24,,,,,0.1584512819553814,old,o,-99.9,,0.008176000000000001,,,
341,Anon Gal,2004as,9.244666666666667,,9.371,9.083,9.28,,,,,0.16984764414681242,old,o,-11.84,0.25,0.032062180830446374,,,
342,NGC 5061,1996x,10.85,,,,10.85,,,,,0.1584512819553814,old,o,-11.17,0.22,0.006887999999999999,,,
343,NGC 6685,2006bq,10.780000000000001,,,10.8,10.76,,,,,0.12165525060596447,old,o,-99.9,,0.02145484260314514,,,
344,MCG +06-6-12,2002hu,10.1845,,10.099,,10.27,,,,,0.1473439852861322,old,o,-9.88,0.28,0.03822644530970823,,,
345,UGC 646,1998ef,10.52,,,10.52,,,,,,0.1584512819553814,old,o,-13.26,0.22,0.01674491757894724,,,
346,NGC 6038,1999cc,10.974,,,10.958,10.99,,,,,0.12106196760337246,old,o,-12.03,0.24,0.03152847827812933,,,
347,UGC 5129,2001fe,10.255333333333333,,10.277,10.269,10.22,,,,,0.12261683770546712,old,o,99.9,,0.014490024295407725,,,
348,NGC 2258,1997e,9.992,,,8.464,11.52,,,,,1.5327047987136984,old,o,-12.01,0.23,0.013526024060285066,,,
349,NGC 1699,2001ep,10.37,,,,10.37,,,,,0.1584512819553814,old,o,-10.8,0.23,0.012945622534640282,,,
350,UGC 12071,2006gr,11.005,,11.005,,,,,,,0.1584512819553814,old,o,-11.85,0.32,0.03347982823503852,,,
