,Unnamed: 0,Name,matt_vel,matt_vel_err,kyle_vel,kyle_vel_err,phase,kyle_pvel,kyle_pvel_err,matt_pvel,matt_pvel_err,choice,source,new_vel,new_vel_err,new_vel_unphased,new_vel_err_unphased
47,47,2006fw,-10.41,0.16,-10.86122059,0.099878113,1.352615224,-10.95276425,0.241610508,-10.48099617,0.27202941,kyle,CSP,-10.95276425,0.241610508,-10.86122059,0.099878113
29,29,2006gj,-10.31,0.03,-9.751601263,0.0467404,3.244076863,-9.856658788,0.224910349,-10.48019128,0.222036033,matt,CSP,-10.48019128,0.222036033,-10.31,0.03
137,46,2006gr,-11.68,0.07,-11.68,0.24,-2.087458413,-11.50181762,0.325576412,-11.50181762,0.230867928,kyle,kaepora,-11.50181762,0.325576412,-11.68,0.24
152,61,2006gt,-10.22,0.07,-9.82,0.04,0.570616396,-9.838138793,0.223606798,-10.2456259,0.230867928,matt,kaepora,-10.2456259,0.230867928,-10.22,0.07
48,48,2006hx,-10.8,0.11,-10.86632863,0.758761539,-3.605161435,-10.65670345,0.790012071,-10.59727378,0.245967478,avg,CSP,-10.62698862,0.517989774,-10.83316432,0.434380769
54,54,2006is,-13.55,0.09,-13.68354946,0.04404002,0.567802024,-13.77355081,0.224364711,-13.63751417,0.237697286,kyle,CSP,-13.77355081,0.224364711,-13.68354946,0.04404002
8,8,2006kf,-10.9,0.05,-10.62370629,0.064645104,2.020849787,-10.74709203,0.229301089,-11.04261588,0.225610283,avg,CSP,-10.89485395,0.227455686,-10.76185314,0.057322552
116,25,2006le,-11.29,0.04,-11.45,0.05,1.792954047,-11.6092461,0.225610283,-11.43944283,0.223606798,matt,kaepora,-11.43944283,0.223606798,-11.29,0.04
162,71,2006lf,-11.58,0.07,-11.19,0.08,-4.88723337,-10.87195392,0.234093998,-11.20892513,0.230867928,avg,kaepora,-11.04043953,0.232480963,-11.385,0.075
39,39,2006lu,-10.41,0.09,-10.63876572,0.134919232,6.537114214,-11.11543186,0.258075956,-10.82567342,0.237697286,matt,CSP,-10.82567342,0.237697286,-10.41,0.09
0,0,2006mr,-11,0.03,-10.57941659,0.082494459,-2.937757136,-10.43003964,0.234958157,-10.81427592,0.222036033,matt,CSP,-10.81427592,0.222036033,-11,0.03
108,17,2006n,-11.49,0.04,-11.36,0.03,-1.653727909,-11.23314694,0.222036033,-11.35657443,0.223606798,matt,kaepora,-11.35657443,0.223606798,-11.49,0.04
87,88,2006ob,-11.23,0.1,-10.88039168,0.573936849,-0.296512349,-10.86119827,0.614657227,-11.2075002,0.241660919,matt,Ostman2011,-11.2075002,0.241660919,-11.23,0.1
3,3,2006os,-12.17,0.09,-11.92310832,0.082517196,-3.488251486,-11.61288143,0.234966141,-11.83484211,0.237697286,avg,CSP,-11.72386177,0.236331714,-12.04655416,0.086258598
89,90,2006py,-11.98,0.08,-12.05178595,0.11009687,-5.578097779,-11.56440595,0.246010814,-11.50355053,0.234093998,matt,Ostman2011,-11.50355053,0.234093998,-11.98,0.08
204,113,2006s,-10.8,0.06,-11.08,0.06,-0.854949277,-11.02027924,0.228035085,-10.74778094,0.228035085,kyle,kaepora,-11.02027924,0.228035085,-11.08,0.06
175,84,2006sr,-12.17,0.1,-11.88,0.05,-1.740454868,-11.71925175,0.225610283,-11.99386187,0.241660919,matt,kaepora,-11.99386187,0.241660919,-12.17,0.1
60,60,2006x,-15.34,0,-14.01422905,0.043155997,-1.417475125,-13.78884917,0.224192864,-15.05674972,0.22,kyle,Wang2008,-13.78884917,0.224192864,-14.01422905,0.043155997
123,32,2007a,-10.9,0.07,-10.74,0.03,-0.089075933,-10.73459719,0.222036033,-10.89413958,0.230867928,matt,kaepora,-10.89413958,0.230867928,-10.9,0.07
203,112,2007af,-11.1,0.09,-10.72,0.03,-1.08429175,-10.65694452,0.222036033,-11.02412472,0.237697286,matt,kaepora,-11.02412472,0.237697286,-11.1,0.09
32,32,2007al,-9.5,0.12,-8.615835747,0.142961859,9.407080258,-8.513679313,0.262370145,-9.782040208,0.250599282,matt,Matheson2008,-9.782040208,0.250599282,-9.5,0.12
16,16,2007as,-13.45,0.08,-13.51243221,0.051827883,-3.553970595,-13.03375849,0.226022409,-12.97773723,0.234093998,avg,CSP,-13.00574786,0.230058204,-13.4812161,0.065913941
107,16,2007ax,-9.63,0.16,-9.4,0.08,-1.425430064,-9.375904359,0.234093998,-9.595810902,0.27202941,kyle,kaepora,-9.375904359,0.234093998,-9.4,0.08
66,66,2007ba,-10.41,0.04,-9.927640487,0.024064987,2.05998642,-10.00413421,0.221312276,-10.52076249,0.223606798,matt,CSP,-10.52076249,0.223606798,-10.41,0.04
134,43,2007bc,-10.41,0.12,-10.3,0.03,-0.03765282,-10.29824525,0.222036033,-10.40811204,0.250599282,matt,kaepora,-10.40811204,0.250599282,-10.41,0.12
5,5,2007bd,-12.27,0.08,-12.16244966,0.045629057,0.242739803,-12.18853713,0.224682022,-12.29693472,0.234093998,avg,CSP,-12.24273593,0.22938801,-12.21622483,0.062814528
45,45,2007bm,-10.31,0.05,-10.23063325,0.018367043,3.22616857,-10.39057549,0.220765369,-10.47914286,0.225610283,avg,CSP,-10.43485917,0.223187826,-10.27031662,0.034183521
42,42,2007ca,-10.8,0.07,-10.52768019,0.017373445,0.523623846,-10.55643617,0.220684926,-10.83342622,0.230867928,matt,CSP,-10.83342622,0.230867928,-10.8,0.07
86,87,2007cg,-12.98,0.12,-12.96410788,1.810027297,6.519740217,-14.05705966,1.823348244,-14.07717463,0.250599282,matt,Matheson2008,-14.077175,0.25059928,-12.98,0.12
186,95,2007ci,-11.88,0.13,-11.73,0.07,-1.443920591,-11.60208711,0.230867928,-11.74542283,0.255538647,matt,kaepora,-11.74542283,0.255538647,-11.88,0.13
219,128,2007co,-11.88,0.05,-11.72,0.07,-0.761230526,-11.65135703,0.230867928,-11.807529,0.225610283,kyle,kaepora,-11.65135703,0.230867928,-11.72,0.07
209,118,2007f,-11.1,0.05,-11.08,0.06,-1.537634141,-10.97484137,0.228035085,-10.99389785,0.225610283,kyle,kaepora,-10.97484137,0.228035085,-11.08,0.06
121,30,2007gi,-15.62,0.09,-15.93,0.04,0.528252805,-16.05249675,0.223606798,-15.73713249,0.237697286,avg,kaepora,-15.89481462,0.230652042,-15.775,0.065
145,54,2007hj,-12.37,0.09,-11.5,0.05,-0.615034655,-11.44855634,0.225610283,-12.30166135,0.237697286,matt,kaepora,-12.30166135,0.237697286,-12.37,0.09
83,84,2007jd,-16.02,0.24,-15.64704181,0.144400217,-0.767473356,-15.48314236,0.26315665,-15.84710605,0.325576412,kyle,Ostman2011,-15.48314236,0.26315665,-15.64704181,0.144400217
41,41,2007jg,-12.57,0.19,-12.15463983,0.028211329,-1.210782207,-12.03067074,0.221801441,-12.43044485,0.290688837,avg,CSP,-12.2305578,0.256245139,-12.36231991,0.109105665
55,55,2007le,-12.27,0.01,-12.34468225,0.022770729,1.666740812,-12.54282254,0.221175284,-12.46390485,0.220227155,matt,CSP,-12.46390485,0.220227155,-12.27,0.01
127,36,2007n,-11.19,0.07,-10.3,0.05,1.546195471,-10.37592563,0.225610283,-11.31255822,0.230867928,matt,kaepora,-11.31255822,0.230867928,-11.19,0.07
35,35,2007nq,-11.58,0.02,-11.21034562,0.077308298,2.514325515,-11.41819451,0.233187849,-11.82041301,0.22090722,matt,CSP,-11.82041301,0.22090722,-11.58,0.02
97,6,2007o,-9.73,0.02,-10.06,0.04,-3.600850361,-9.934377315,0.223606798,-9.638664448,0.22090722,avg,kaepora,-9.786520881,0.222257009,-9.895,0.03
11,11,2007on,-11.29,0,-10.98221367,0.050445979,-1.437414262,-10.88793166,0.225709541,-11.18210237,0.22,matt,CSP,-11.18210237,0.22,-11.29,0
170,79,2007qe,-11.68,0.08,-13.11,0.05,5.188182928,-13.96422401,0.225610283,-12.24741473,0.234093998,matt,kaepora,-12.24741473,0.234093998,-11.68,0.08
56,56,2007s,-9.73,0.06,-10.23730531,0.116935963,-0.457313789,-10.21718651,0.249146582,-9.717243127,0.228035085,avg,CSP,-9.967214821,0.238590834,-9.983652653,0.088467982
144,53,2007sr,-11.49,0.14,-11.75,0.04,14.19430624,-14.19047287,0.223606798,-13.71160154,0.260768096,avg,kaepora,,,,
43,43,2007ux,-10.61,0.08,-9.801253675,0.080466709,3.459146951,-9.920372883,0.234253904,-10.83049245,0.234093998,matt,CSP,-10.83049245,0.234093998,-10.61,0.08
33,33,2008ar,-10.22,0.08,-10.2480233,0.111426877,-0.487283608,-10.22644083,0.246608899,-10.19885044,0.234093998,avg,CSP,-10.21264563,0.240351448,-10.23401165,0.095713438
51,51,2008bc,-11.78,0.07,-11.97584882,0.026948,-4.839716533,-11.55452404,0.221644298,-11.38508102,0.230867928,avg,CSP,-11.46980253,0.226256113,-11.87792441,0.048474
61,61,2008bf,-11.29,0.12,-11.34951836,0.064382047,-1.825931638,-11.21077158,0.229227066,-11.15455828,0.250599282,kyle,CSP,-11.21077158,0.229227066,-11.34951836,0.064382047
34,34,2008bq,-10.51,0,-10.70830553,0.060442928,-0.534679338,-10.67686896,0.228152027,-10.48191981,0.22,avg,CSP,-10.57939438,0.224076014,-10.60915276,0.030221464
76,76,2008bz,-10.87,0.18,-10.83754605,0.053416274,2.511848659,-11.01236617,0.226391913,-11.04767604,0.284253408,matt,Silverman2012,-11.04767604,0.284253408,-10.87,0.18
21,21,2008c,-10.41,0.04,-10.39185127,0.099631757,2.610523753,-10.53326642,0.241508772,-10.55308072,0.223606798,avg,CSP,-10.54317357,0.232557785,-10.40092563,0.069815879
80,81,2008cd,-9.61,0.14,-9.300108788,0.125917106,22.10222253,-10.40890591,0.253485932,-11.48376593,0.260768096,matt,Silverman2012,,,,
81,92,2008cf,-10.06,0.24,-10.30140973,0.084851943,-2.003860795,-10.21349148,0.235796209,-9.986714395,0.325576412,avg,Silverman2012,-10.10010294,0.280686311,-10.18070486,0.162425972
15,15,2008fp,-10.9,0.02,-10.83407461,0.043522026,-0.693229373,-10.79077349,0.22426361,-10.85525942,0.22090722,avg,CSP,-10.82301646,0.222585415,-10.86703731,0.031761013
88,89,2008fr,-10.48,0.14,-10.51028708,0.035720952,6.547509666,-10.95359018,0.222881104,-10.91521179,0.260768096,kyle,Silverman2012,-10.95359018,0.222881104,-10.51028708,0.035720952
