,c,c_c_cov,c_err,c_mwebv_cov,c_t0_cov,c_x0_cov,c_x1_cov,c_z_cov,chisq,mwebv,mwebv_c_cov,mwebv_err,mwebv_mwebv_cov,mwebv_t0_cov,mwebv_x0_cov,mwebv_x1_cov,mwebv_z_cov,ncall,ndof,success,t0,t0_c_cov,t0_err,t0_mwebv_cov,t0_t0_cov,t0_x0_cov,t0_x1_cov,t0_z_cov,x0,x0_c_cov,x0_err,x0_mwebv_cov,x0_t0_cov,x0_x0_cov,x0_x1_cov,x0_z_cov,x1,x1_c_cov,x1_err,x1_mwebv_cov,x1_t0_cov,x1_x0_cov,x1_x1_cov,x1_z_cov,z,z_c_cov,z_err,z_mwebv_cov,z_t0_cov,z_x0_cov,z_x1_cov,z_z_cov,Name,Survey,ErrorType,ErrorMesg,bands,bands2,last_fitmjd,first_fitmjd,Name_upper
108,0.24535467773683006,0.0018239512452593316,0.04270628998383019,0.0,0.001285096105907506,-1.7891736977169013e-06,-0.0010192526076508103,0.0,46.19206805955821,0.1254083175506489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,18,1,54064.722330215176,0.001285096105907506,0.26951780355375377,0.0,0.07264029242249494,-3.063383290184679e-06,-0.0270476506563243,0.0,0.0016268241177185838,-1.7891736977169013e-06,5.014148293938647e-05,0.0,-3.063383290184679e-06,2.5141696086410013e-09,1.3573889130307683e-06,0.0,-0.57092635775735,-0.0010192526076508103,0.12459988900229835,0.0,-0.0270476506563243,1.3573889130307683e-06,0.01552838961735775,0.0,0.032102208521870165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SN2006OS,CSP,None                                              ,None                                              ,BV                  ,BV                  ,54108.11,54065.13,SN2006OS
109,0.06740162148513296,0.00324303743859202,0.056944251081863184,0.0,-0.02942283867770756,-4.861044167703454e-07,0.0112969933471325,0.0,29.195870650098612,0.015213386835647148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,4,1,54065.00097217875,-0.02942283867770756,1.1059468455860042,0.0,1.2233042545218622,-7.680643852912448e-06,-0.6103203571373438,0.0,0.0010974171672863409,-4.861044167703454e-07,3.613395683971232e-05,0.0,-7.680643852912448e-06,1.3056633552728594e-09,8.861487440004723e-07,0.0,-0.9633612581531512,0.0112969933471325,0.6032187011540409,0.0,-0.6103203571373438,8.861487440004723e-07,0.36572116859660836,0.0,0.0531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SN2006OT,CfA3,None                                              ,None                                              ,BV                  ,BV                  ,54094.1648,54064.214289999996,SN2006OT
110,0.10940332311873036,0.001742945817813526,0.04174725329357587,0.0,0.004595424336285719,-1.1251876328101373e-06,-0.002309697545296084,0.0,43.235173513470215,0.015213386835647148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,21,1,54062.55708417494,0.004595424336285719,0.5719637721922481,0.0,0.3271517485396815,-1.128462570818114e-05,-0.10648023356011563,0.0,0.0011598261260346576,-1.1251876328101373e-06,3.695290307156873e-05,0.0,-1.128462570818114e-05,1.365517581935355e-09,3.6186749944963244e-06,0.0,1.2624909456809181,-0.002309697545296084,0.21523424582093087,0.0,-0.10648023356011563,3.6186749944963244e-06,0.046356375798845585,0.0,0.0531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SN2006OT,CSP,None                                              ,None                                              ,BV                  ,BV                  ,54112.16,54065.18,SN2006OT
111,0.0005606184590085661,0.0017284158269146737,0.041572890018757525,0.0,-0.0019692710644750896,-1.0089011706818226e-06,0.0013201770176586368,0.0,28.488607166992974,0.051704048929827495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,8,1,54071.1564658665,-0.0019692710644750896,0.2964655979703821,0.0,0.08789311455129518,6.361810037189684e-07,-0.06606877647335194,0.0,0.001243930115810754,-1.0089011706818226e-06,3.3511059623458905e-05,0.0,6.361810037189684e-07,1.122991455445945e-09,-1.1917646266540394e-06,0.0,-0.17239350000956488,0.0013201770176586368,0.26126989089798514,0.0,-0.06606877647335194,-1.1917646266540394e-06,0.068324249948686,0.0,0.05786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SN2006PY,CSP,None                                              ,None                                              ,BV                  ,BV                  ,54087.04,54069.04,SN2006PY
112,0.10019054146602091,0.001798911555281551,0.0424121629928913,0.0,-0.00026591630146516733,-1.100067669155098e-05,0.0007358276208431667,0.0,0.8084678209349825,0.06339063459427999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,4,1,54113.528831659096,-0.00026591630146516733,0.14397912265121704,0.0,0.020730042184254484,1.8832616365129687e-07,0.0035369372228013546,0.0,0.00955556592137402,-1.100067669155098e-05,0.00031992895590962633,0.0,1.8832616365129687e-07,1.0235490581460772e-07,-2.0884323876021656e-05,0.0,0.48018063546515055,0.0007358276208431667,0.199333309704965,0.0,0.0035369372228013546,-2.0884323876021656e-05,0.0397550328046319,0.0,0.01763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SN2007A,CfA4,None                                              ,None                                              ,BV                  ,BV                  ,54139.10991,54107.11116,SN2007A
113,0.14127162575242158,0.0016040627917039956,0.0400495603626807,0.0,-0.0003044943339513376,-9.139117173515186e-06,-0.00047600906339081956,0.0,17.952859357599248,0.06339063459427999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,12,1,54113.27954050187,-0.0003044943339513376,0.08393967017764226,0.0,0.007045875581759773,2.314504305504042e-06,-0.003906965629006593,0.0,0.009380875144000433,-9.139117173515186e-06,0.0002732141352110584,0.0,2.314504305504042e-06,7.46461635470929e-08,-1.5376767586872955e-06,0.0,0.6243233328729056,-0.00047600906339081956,0.12896586765951978,0.0,-0.003906965629006593,-1.5376767586872955e-06,0.016635943188381144,0.0,0.01763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SN2007A,CSP,None                                              ,None                                              ,BV                  ,BV                  ,54133.03,54108.04,SN2007A
114,0.26113538204498843,0.016814169613875014,0.12962878285697288,0.0,0.03002201900136663,-5.429959320748802e-05,0.015202621344879054,0.0,26.55601129071253,0.03466642763145874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,18,1,54116.01024231505,0.03002201900136663,0.5225954427842225,0.0,0.27311267882526796,-0.00014877570218813522,0.034160998475360166,0.0,0.0031709086610527404,-5.429959320748802e-05,0.0004536608441740586,0.0,-0.00014877570218813522,2.0581262852257943e-07,-7.277635075984499e-05,0.0,-4.140429596465751,0.015202621344879054,0.2558716443639968,0.0,0.034160998475360166,-7.277635075984499e-05,0.06565296345660784,0.0,0.01287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SN2007N,CfA3,None                                              ,None                                              ,BV                  ,BV                  ,54161.36166,54126.43151,SN2007N
115,0.9482443320913081,0.002797852314124284,0.052891683874452866,0.0,0.004892050714769433,-2.276841405922176e-06,-0.0015815433539520974,0.0,357.1918864056827,0.03466642763145874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,23,1,54120.4593584177,0.004892050714769433,0.2788301135733491,0.0,0.07774660549713883,-7.186136845565866e-06,-0.007503750467952387,0.0,0.001089570365279846,-2.276841405922176e-06,4.817528571215979e-05,0.0,-7.186136845565866e-06,2.3208598031073703e-09,1.2316411961023442e-06,0.0,-1.9563479001916728,-0.0015815433539520974,0.08007865953619886,0.0,-0.007503750467952387,1.2316411961023442e-06,0.0064132392131266485,0.0,0.01287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SN2007N,CSP,None                                              ,None                                              ,BV                  ,BV                  ,54169.24,54123.32,SN2007N
116,0.3728580568770026,0.001467349987628897,0.03830494737278012,0.0,-0.00028191935256214126,-7.767691556376657e-06,-0.0006350446874075201,0.0,105.08573822219766,0.02391736699360734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,63,1,54144.81777150403,-0.00028191935256214126,0.05993981284336769,0.0,0.003592781744210333,1.8252299695533652e-06,-0.0012301008874083103,0.0,0.008311065772511672,-7.767691556376657e-06,0.00024148464287171434,0.0,1.8252299695533652e-06,5.831497027567321e-08,1.6369089891908112e-06,0.0,1.314493722457839,-0.0006350446874075201,0.0658222673047999,0.0,-0.0012301008874083103,1.6369089891908112e-06,0.004332839764927011,0.0,0.013869999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SN2007S,CfA3,None                                              ,None                                              ,BV                  ,BV                  ,54195.14154,54137.40794,SN2007S
117,0.3881848761766591,0.002000209834084611,0.04472202070759357,0.0,4.267506183477103e-05,-9.908701482451849e-06,0.00031360183844435756,0.0,15.9427335257208,0.02391736699360734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,49,1,54144.74523129502,4.267506183477103e-05,0.1761919162236154,0.0,0.031043671610974207,-7.402285626666128e-07,-0.00019244534874546476,0.0,0.007971968566081289,-9.908701482451849e-06,0.00027736713905315846,0.0,-7.402285626666128e-07,7.693277929260486e-08,-1.8228108397847297e-05,0.0,1.1876595073366225,0.00031360183844435756,0.22005132019549656,0.0,-0.00019244534874546476,-1.8228108397847297e-05,0.04845575252113458,0.0,0.013869999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SN2007S,Swift,None                                              ,None                                              ,BV                  ,BV                  ,54192.5325,54136.6413,SN2007S
