,Name,Filter,mwebv_corr,ra,dec,mwebv
8,2005am,CSP-r,0.1197049980907745,09:16:12.470,-16:18:15.98,0.04612416382053509
8,2005am,CSP-i,0.08702834008524052,09:16:12.470,-16:18:15.98,0.04612416382053509
8,2005am,CSP-B,0.18787676777186668,09:16:12.470,-16:18:15.98,0.04612416382053509
8,2005am,CSP-V0,0.14529335220351314,09:16:12.470,-16:18:15.98,0.04612416382053509
8,2005am,CSP-Ydw,0.050399314219182756,09:16:12.470,-16:18:15.98,0.04612416382053509
8,2005am,CSP-Jdw,0.03763792031400648,09:16:12.470,-16:18:15.98,0.04612416382053509
8,2005am,CSP-Hdw,0.024200792330816512,09:16:12.470,-16:18:15.98,0.04612416382053509
9,2005bg,CSP-u,0.1312241298344149,12:17:17.179,+16:22:17.62,0.027611972412293642
9,2005bg,CSP-g,0.10348864331368124,12:17:17.179,+16:22:17.62,0.027611972412293642
9,2005bg,CSP-r,0.07167381841733222,12:17:17.179,+16:22:17.62,0.027611972412293642
9,2005bg,CSP-i,0.052105416647141745,12:17:17.179,+16:22:17.62,0.027611972412293642
9,2005bg,CSP-B,0.11249300825995512,12:17:17.179,+16:22:17.62,0.027611972412293642
9,2005bg,CSP-V0,0.08699549389406691,12:17:17.179,+16:22:17.62,0.027611972412293642
10,2005bo,CSP-u,0.18786768140418475,12:49:41.030,-11:05:47.29,0.03953201274934114
10,2005bo,CSP-g,0.14812736438202023,12:49:41.030,-11:05:47.29,0.03953201274934114
10,2005bo,CSP-r,0.10260321175275022,12:49:41.030,-11:05:47.29,0.03953201274934114
10,2005bo,CSP-i,0.07459334517912541,12:49:41.030,-11:05:47.29,0.03953201274934114
10,2005bo,CSP-B,0.16103610625709486,12:49:41.030,-11:05:47.29,0.03953201274934114
10,2005bo,CSP-V0,0.1245361398370175,12:49:41.030,-11:05:47.29,0.03953201274934114
11,2005el,CSP-u,0.46605299108466514,05:11:48.720,+05:11:39.41,0.09808362612491346
11,2005el,CSP-g,0.3670687686331786,05:11:48.720,+05:11:39.41,0.09808362612491346
11,2005el,CSP-r,0.2544237268706673,05:11:48.720,+05:11:39.41,0.09808362612491346
11,2005el,CSP-i,0.18500317984329184,05:11:48.720,+05:11:39.41,0.09808362612491346
11,2005el,CSP-B,0.3993060222774414,05:11:48.720,+05:11:39.41,0.09808362612491346
11,2005el,CSP-V0,0.30880418990050273,05:11:48.720,+05:11:39.41,0.09808362612491346
11,2005el,CSP-Y,0.1088904095381853,05:11:48.720,+05:11:39.41,0.09808362612491346
11,2005el,CSP-J,0.07918127440636447,05:11:48.720,+05:11:39.41,0.09808362612491346
11,2005el,CSP-H,0.05138423380873114,05:11:48.720,+05:11:39.41,0.09808362612491346
11,2005el,CSP-Ydw,0.10716218648516573,05:11:48.720,+05:11:39.41,0.09808362612491346
11,2005el,CSP-Jdw,0.08002689386990802,05:11:48.720,+05:11:39.41,0.09808362612491346
11,2005el,CSP-Hdw,0.051459048444158384,05:11:48.720,+05:11:39.41,0.09808362612491346
12,2005eq,CSP-u,0.30235493395913204,03:08:49.310,-07:01:59.70,0.06362684899560904
12,2005eq,CSP-g,0.23829040129638246,03:08:49.310,-07:01:59.70,0.06362684899560904
12,2005eq,CSP-r,0.16510080273324834,03:08:49.310,-07:01:59.70,0.06362684899560904
12,2005eq,CSP-i,0.12003896873897801,03:08:49.310,-07:01:59.70,0.06362684899560904
12,2005eq,CSP-B,0.2591229524548133,03:08:49.310,-07:01:59.70,0.06362684899560904
12,2005eq,CSP-V0,0.20039183084081635,03:08:49.310,-07:01:59.70,0.06362684899560904
12,2005eq,CSP-Y,0.07064354892403024,03:08:49.310,-07:01:59.70,0.06362684899560904
12,2005eq,CSP-J,0.051368987261028565,03:08:49.310,-07:01:59.70,0.06362684899560904
12,2005eq,CSP-H,0.03333475485483994,03:08:49.310,-07:01:59.70,0.06362684899560904
12,2005eq,CSP-Ydw,0.06952153187415178,03:08:49.310,-07:01:59.70,0.06362684899560904
